UNIQUE_CARRIER,Description,Number_of_Passengers
04Q,Tradewind Aviation,930
09Q,"Swift Air, LLC",35645
0MQ,"Multi-Aero, Inc. d/b/a Air Choice One",10615
0WQ,Avjet Corporation,718
1BQ,"Dynamic Airways, LLC",0
1EQ,"KaiserAir, Inc.",2332
1PQ,Makani Kai Air Charters,1800
1QQ,City Wings Inc dba Seaflight,4248
1RQ,Sun Air Express LLC dba Sun Air International,5705
1SQ,Star Marianas Air Inc.,14417
1TQ,Rhoades Aviation dba Transair,0
1WQ,Ultimate JetCharters LLC dba Ultimate Air Shuttle,8613
1YQ,"Air Charter, Inc d/b/a Air Flamenco",13458
22Q,Gem Air LLC,57
27Q,"Jet Aviation Flight Services, Inc.",1574
28Q,Menagerie Enterprises Inc d/b/a Monarch Air,1953
29Q,Erickson Helicopters,122
2E,Smokey Bay Air Inc.,2248
2EQ,"J&M Alaska Air Tours, Inc. d/b/a Alaska Air Transit",68
2F,Frontier Flying Service,0
2HQ,Elite Airways LLC,6427
2JQ,Delux Public Charter LLC,8787
2O,Island Air Service,1808
2TQ,Trans Northern Airways d/b/a Air Unlimited Charter Services,140
3F,"Pacific Airways, Inc.",632
3M,Silver Airways,59670
4B,Boutique Air,24053
4EQ,Tanana Air Service,109
4W,Warbelow,3720
4Y,Yute Air Aka Flight Alaska,5600
5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,357
5X,United Parcel Service,0
5Y,Atlas Air Inc.,2127
7H,Era Aviation,58891
7S,Arctic Transportation,103
8C,Air Transport International,0
8D,"Dynamic Aviation, Inc. d/b/a Beacon",0
8E,Bering Air Inc.,12726
8V,Wright Air Service,5947
9E,Endeavor Air Inc.,1461955
9K,Cape Air,82934
9S,Southern Air Inc.,0
AA,American,17166591
AAT,Air Sunshine Inc.,365
ABX,ABX Air Inc,0
AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,6012
AMQ,Ameristar Air Cargo,2499
AS,Alaska Airlines Inc.,3359586
AX,Trans States Airlines,426342
B6,JetBlue Airways,5032560
C5,"Commutair Aka Champlain Enterprises, Inc.",225433
CH,Bemidji Airlines,0
CP,Compass Airlines,791852
DL,Delta Air Lines Inc.,16804236
EE,Eastern Airlines Group Inc.,6271
ELL,Ellis Air Taxi Inc.,15
EM,Empire Airlines Inc.,32863
EV,ExpressJet Airlines Inc.,2562243
F9,Frontier Airlines Inc.,2166490
FX,Federal Express Corporation,0
G4,Allegiant Air,1728182
G7,GoJet Airlines LLC d/b/a United Express,654572
GCH,Grand Canyon Helicopters,107
GFQ,Gulf And Caribbean Cargo,0
GL,Miami Air International,15760
GV,Grant Aviation,14105
H6,Hageland Aviation Service,34302
HA,Hawaiian Airlines Inc.,1526396
HBQ,Harris Air Services,652
I4,Scott Air LLC dba Island Air Express,2046
J5,Kalinin Aviation LLC d/b/a Alaska Seaplanes,5326
K3,Venture Travel LLC d/b/a Taquan Air Service,376
K8,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",2819
KAH,Kenmore Air Harbor,2793
KAQ,Kalitta Air LLC,0
KD,Western Global,0
KH,Aloha Air Cargo,0
KLQ,Kalitta Charters II,0
KO,Alaska Central Express,472
KS,Peninsula Airways Inc.,41762
L2,Lynden Air Cargo Airlines,0
LF,CFM Inc d/b/a Contour Airlines,15527
M6,Amerijet International,0
MQ,Envoy Air,1672574
MW,"Mokulele Flight Services, Inc.",41028
N8,National Air Cargo Group Inc d/ba National Airlines,341
NC,Northern Air Cargo Inc.,0
NEW,New England Airlines Inc.,2513
NK,Spirit Air Lines,3198960
OH,PSA Airlines Inc.,1808940
OO,SkyWest Airlines Inc.,4462146
PFQ,Asia Pacific,0
PM,"Prescott Support Company, Inc.",0
PO,Polar Air Cargo Airways,0
PT,Piedmont Airlines,399634
Q5,40-Mile Air,96
QX,Horizon Air,1023236
RVQ,"Reeve Air Alaska, LLC",4
SEB,Seaborne Aviation,27314
SNK,Spernak Airways Inc.,469
SY,Sun Country Airlines d/b/a MN Airlines,367716
U7,USA Jet Airlines Inc.,0
UA,United,10837047
V8,Iliamna Air Taxi,1488
VI,Vieques Air Link Inc.,16239
VX,Virgin America,1135342
WN,Southwest,21450575
WP,Island Air Hawaii,111065
WRD,Ward Air,0
X4,Air Excursions LLC,373
X9,Omni Air International LLC,15345
YR,"Grand Canyon Airlines, Inc. d/b/a Grand Canyon Airlines d/b/a Scenic Airlines",21220
YV,Mesa Airlines Inc.,1773093
YX,Republic Airlines,1995212
Z3,"PM Air, LLC",5798
ZK,Great Lakes Airlines,10306
ZW,Air Wisconsin Airlines Corp,562450
All Rows,All Rows (including those not displayed),105409568
