Year,wolf,moose,old_moose
1959,20,538,65
1960,22,564,82
1961,22,572,124
1962,23,579,151
1963,20,596,167
1964,26,620,149
1965,28,634,125
1966,26,661,90
1967,22,766,83
1968,22,848,94
1969,17,1041,103
1970,18,1045,99
1971,20,1183,128
1972,23,1243,159
1973,24,1215,186
1974,31,1203,215
1975,41,1139,223
1976,44,1070,293
1977,34,949,299
1978,40,845,336
1979,43,857,356
1980,50,788,384
1981,30,767,391
1982,14,780,405
1983,23,830,374
1984,24,927,388
1985,22,976,341
1986,20,1014,274
1987,16,1046,204
1988,12,1116,173
1989,12,1260,183
1990,15,1315,177
1991,12,1496,228
1992,12,1697,334
1993,13,1784,438
1994,17,2017,518
1995,16,2117,616
1996,22,2398,730
1997,24,900,143
1998,14,925,182
1999,25,997,217
2000,29,1031,245
2001,19,1120,272
2002,17,1100,337
2003,19,900,321
2004,29,750,--
2005,30,540,--
2006,30,450,--
2007,21,385,--
2008,23,650,--
2009,24,530,--
2010,19,510,--
2011,16,515,--
