"","week","warriors","cavs"
"1","6/17/12",1,1
"2","6/24/12",2,2
"3","7/1/12",1,1
"4","7/8/12",1,1
"5","7/15/12",1,2
"6","7/22/12",1,1
"7","7/29/12",1,1
"8","8/5/12",1,1
"9","8/12/12",1,1
"10","8/19/12",1,1
"11","8/26/12",1,0
"12","9/2/12",1,0
"13","9/9/12",1,0
"14","9/16/12",1,0
"15","9/23/12",1,1
"16","9/30/12",1,1
"17","10/7/12",2,1
"18","10/14/12",1,1
"19","10/21/12",1,1
"20","10/28/12",2,2
"21","11/4/12",2,1
"22","11/11/12",2,1
"23","11/18/12",2,1
"24","11/25/12",2,1
"25","12/2/12",2,1
"26","12/9/12",2,1
"27","12/16/12",2,1
"28","12/23/12",2,1
"29","12/30/12",2,1
"30","1/6/13",2,1
"31","1/13/13",2,1
"32","1/20/13",2,1
"33","1/27/13",2,1
"34","2/3/13",2,1
"35","2/10/13",3,1
"36","2/17/13",3,1
"37","2/24/13",3,1
"38","3/3/13",2,1
"39","3/10/13",2,1
"40","3/17/13",2,2
"41","3/24/13",2,1
"42","3/31/13",2,1
"43","4/7/13",3,1
"44","4/14/13",3,1
"45","4/21/13",4,1
"46","4/28/13",9,1
"47","5/5/13",12,0
"48","5/12/13",12,1
"49","5/19/13",2,2
"50","5/26/13",1,1
"51","6/2/13",1,1
"52","6/9/13",1,1
"53","6/16/13",1,1
"54","6/23/13",1,3
"55","6/30/13",3,2
"56","7/7/13",2,2
"57","7/14/13",1,1
"58","7/21/13",1,1
"59","7/28/13",1,1
"60","8/4/13",1,1
"61","8/11/13",1,1
"62","8/18/13",1,1
"63","8/25/13",1,0
"64","9/1/13",1,1
"65","9/8/13",1,1
"66","9/15/13",1,0
"67","9/22/13",1,1
"68","9/29/13",1,1
"69","10/6/13",2,1
"70","10/13/13",1,1
"71","10/20/13",2,1
"72","10/27/13",4,2
"73","11/3/13",3,2
"74","11/10/13",3,1
"75","11/17/13",3,1
"76","11/24/13",2,2
"77","12/1/13",2,1
"78","12/8/13",3,1
"79","12/15/13",2,2
"80","12/22/13",3,1
"81","12/29/13",3,2
"82","1/5/14",3,2
"83","1/12/14",3,1
"84","1/19/14",2,1
"85","1/26/14",3,1
"86","2/2/14",2,2
"87","2/9/14",2,1
"88","2/16/14",2,2
"89","2/23/14",2,2
"90","3/2/14",2,1
"91","3/9/14",3,1
"92","3/16/14",2,2
"93","3/23/14",2,1
"94","3/30/14",2,1
"95","4/6/14",2,1
"96","4/13/14",4,1
"97","4/20/14",6,1
"98","4/27/14",10,1
"99","5/4/14",6,1
"100","5/11/14",2,1
"101","5/18/14",1,2
"102","5/25/14",1,1
"103","6/1/14",1,1
"104","6/8/14",1,1
"105","6/15/14",1,2
"106","6/22/14",2,4
"107","6/29/14",2,2
"108","7/6/14",2,19
"109","7/13/14",2,9
"110","7/20/14",1,4
"111","7/27/14",1,3
"112","8/3/14",1,5
"113","8/10/14",1,3
"114","8/17/14",1,3
"115","8/24/14",1,3
"116","8/31/14",1,2
"117","9/7/14",1,2
"118","9/14/14",1,2
"119","9/21/14",1,2
"120","9/28/14",1,4
"121","10/5/14",2,5
"122","10/12/14",2,4
"123","10/19/14",2,4
"124","10/26/14",2,13
"125","11/2/14",4,8
"126","11/9/14",4,6
"127","11/16/14",3,7
"128","11/23/14",3,5
"129","11/30/14",4,5
"130","12/7/14",5,6
"131","12/14/14",6,5
"132","12/21/14",5,8
"133","12/28/14",3,5
"134","1/4/15",4,7
"135","1/11/15",4,6
"136","1/18/15",5,5
"137","1/25/15",5,6
"138","2/1/15",5,6
"139","2/8/15",3,6
"140","2/15/15",3,4
"141","2/22/15",5,7
"142","3/1/15",4,6
"143","3/8/15",4,6
"144","3/15/15",5,5
"145","3/22/15",5,4
"146","3/29/15",5,4
"147","4/5/15",5,5
"148","4/12/15",6,5
"149","4/19/15",11,11
"150","4/26/15",6,7
"151","5/3/15",11,15
"152","5/10/15",19,23
"153","5/17/15",21,18
"154","5/24/15",34,25
"155","5/31/15",28,22
"156","6/7/15",54,54
"157","6/14/15",58,39
"158","6/21/15",5,4
"159","6/28/15",3,4
"160","7/5/15",3,4
"161","7/12/15",2,3
"162","7/19/15",2,3
"163","7/26/15",2,2
"164","8/2/15",2,2
"165","8/9/15",2,2
"166","8/16/15",1,2
"167","8/23/15",1,2
"168","8/30/15",1,2
"169","9/6/15",1,2
"170","9/13/15",2,2
"171","9/20/15",2,2
"172","9/27/15",2,2
"173","10/4/15",2,3
"174","10/11/15",2,2
"175","10/18/15",3,3
"176","10/25/15",7,9
"177","11/1/15",10,6
"178","11/8/15",9,6
"179","11/15/15",16,6
"180","11/22/15",19,6
"181","11/29/15",19,6
"182","12/6/15",27,5
"183","12/13/15",22,6
"184","12/20/15",19,11
"185","12/27/15",14,5
"186","1/3/16",13,5
"187","1/10/16",12,7
"188","1/17/16",16,11
"189","1/24/16",17,8
"190","1/31/16",13,8
"191","2/7/16",13,5
"192","2/14/16",8,5
"193","2/21/16",14,6
"194","2/28/16",22,6
"195","3/6/16",17,6
"196","3/13/16",15,5
"197","3/20/16",19,5
"198","3/27/16",19,5
"199","4/3/16",24,5
"200","4/10/16",51,6
"201","4/17/16",23,12
"202","4/24/16",21,7
"203","5/1/16",19,14
"204","5/8/16",31,9
"205","5/15/16",38,21
"206","5/22/16",62,38
"207","5/29/16",100,34
"208","6/5/16",83,61
"209","6/12/16",85,62
"210","6/19/16",48,62
"211","6/26/16",5,7
"212","7/3/16",22,11
"213","7/10/16",6,5
"214","7/17/16",4,4
"215","7/24/16",3,3
"216","7/31/16",3,3
"217","8/7/16",3,3
"218","8/14/16",2,2
"219","8/21/16",2,2
"220","8/28/16",3,2
"221","9/4/16",2,2
"222","9/11/16",2,2
"223","9/18/16",2,2
"224","9/25/16",3,2
"225","10/2/16",7,3
"226","10/9/16",4,3
"227","10/16/16",5,4
"228","10/23/16",16,12
"229","10/30/16",21,10
"230","11/6/16",11,7
"231","11/13/16",11,7
"232","11/20/16",12,6
"233","11/27/16",12,8
"234","12/4/16",13,7
"235","12/11/16",11,6
"236","12/18/16",11,7
"237","12/25/16",17,16
"238","1/1/17",10,9
"239","1/8/17",10,9
"240","1/15/17",18,12
"241","1/22/17",10,10
"242","1/29/17",12,9
"243","2/5/17",11,11
"244","2/12/17",13,8
"245","2/19/17",7,7
"246","2/26/17",12,11
"247","3/5/17",11,8
"248","3/12/17",10,8
"249","3/19/17",10,7
"250","3/26/17",12,9
"251","4/2/17",10,9
"252","4/9/17",10,12
"253","4/16/17",15,15
"254","4/23/17",14,9
"255","4/30/17",15,14
"256","5/7/17",15,10
"257","5/14/17",28,23
"258","5/21/17",22,36
"259","5/28/17",33,31
"260","6/4/17",77,74
"261","6/11/17",98,79
